Emenda;Tipo de formalização;Com ou Sem Recurso
2026.290.85411;Repasse fundo a fundo;NÃO
2026.290.85413;Repasse fundo a fundo;NÃO
2026.290.85414;Repasse fundo a fundo;NÃO
2026.290.85416;Repasse fundo a fundo;NÃO
2026.290.85417;Repasse fundo a fundo;NÃO
2026.290.85420;Repasse fundo a fundo;NÃO
2026.291.82048;Impedida Tecnicamente;Impedida Tecnicamente
2026.291.82049;Repasse fundo a fundo;
2026.291.82063;Convênio normal;
2026.291.82066;Repasse fundo a fundo;
2026.291.82067;Repasse fundo a fundo;
2026.291.82074;Repasse fundo a fundo;
2026.291.82076;Repasse fundo a fundo;
2026.291.82077;Repasse fundo a fundo;
2026.291.82078;Repasse fundo a fundo;
2026.291.82081;Repasse fundo a fundo;
2026.291.82082;Repasse fundo a fundo;
2026.291.82089;Repasse fundo a fundo;
2026.291.82090;Repasse fundo a fundo;
2026.291.82091;Repasse fundo a fundo;
2026.291.82095;Repasse fundo a fundo;
2026.291.82099;Repasse fundo a fundo;
2026.291.82101;Repasse fundo a fundo;
2026.291.82103;Repasse fundo a fundo;
2026.291.82105;Repasse fundo a fundo;
2026.291.82107;Repasse fundo a fundo;
2026.291.82108;Repasse fundo a fundo;
2026.291.82129;Impedida Tecnicamente;Impedida Tecnicamente
2026.291.82131;Repasse fundo a fundo;
2026.291.82142;Convênio normal;
2026.291.85972;Repasse fundo a fundo;NÃO
2026.291.85973;Convênio normal;NÃO
2026.291.85974;Repasse fundo a fundo;NÃO
2026.291.85980;Repasse fundo a fundo;NÃO
2026.291.85981;Repasse fundo a fundo;NÃO
2026.291.85982;Repasse fundo a fundo;NÃO
2026.291.85983;Repasse fundo a fundo;NÃO
2026.291.85984;Convênio normal;NÃO
2026.291.85985;Repasse fundo a fundo;NÃO
2026.291.85987;Convênio normal;NÃO
2026.291.85991;Repasse fundo a fundo;NÃO
2026.009.78891;Repasse fundo a fundo;
2026.009.78892;Repasse fundo a fundo;
2026.009.78896;Convênio normal;
2026.009.78897;Repasse fundo a fundo;
2026.009.78899;Repasse fundo a fundo;
2026.009.78900;Convênio normal;
2026.009.78901;Repasse fundo a fundo;
2026.009.78902;Repasse fundo a fundo;
2026.009.78903;Repasse fundo a fundo;
2026.009.78905;Convênio normal;
2026.009.78906;Repasse fundo a fundo;
2026.009.78907;Repasse fundo a fundo;
2026.009.78908;Repasse fundo a fundo;
2026.009.78909;Convênio normal;
2026.009.78910;Repasse fundo a fundo;
2026.009.78911;Repasse fundo a fundo;
2026.009.78912;Repasse fundo a fundo;
2026.009.78914;Repasse fundo a fundo;
2026.009.78915;Repasse fundo a fundo;
2026.009.79166;Convênio normal;
2026.322.83120;Repasse fundo a fundo;
2026.322.83122;Repasse fundo a fundo;
2026.322.83123;Repasse fundo a fundo;
2026.322.83125;Repasse fundo a fundo;
2026.322.83129;Repasse fundo a fundo;
2026.322.83147;Repasse fundo a fundo;
2026.322.83151;Repasse fundo a fundo;
2026.322.83176;Impedida Tecnicamente;Impedida Tecnicamente
2026.322.83217;Repasse fundo a fundo;
2026.322.83329;Impedida Tecnicamente;Impedida Tecnicamente
2026.322.83350;Convênio normal;
2026.322.83597;Repasse fundo a fundo;
2026.010.82741;Convênio normal;
2026.010.82749;Repasse fundo a fundo;
2026.010.82754;Impedida Tecnicamente;Impedida Tecnicamente
2026.010.82762;Repasse fundo a fundo;
2026.010.82766;Repasse fundo a fundo;
2026.010.82769;Repasse fundo a fundo;
2026.010.82773;Repasse fundo a fundo;
2026.010.82776;Repasse fundo a fundo;
2026.010.82777;Repasse fundo a fundo;
2026.010.82779;Repasse fundo a fundo;
2026.010.82781;Repasse fundo a fundo;
2026.010.82782;Repasse fundo a fundo;
2026.010.82785;Repasse fundo a fundo;
2026.010.82786;Repasse fundo a fundo;
2026.010.82787;Convênio normal;
2026.010.82795;Convênio normal;
